id,genres,backdrop_path,overview,poster_path,release_date,runtime,title,vote_average,youtube_link,actors,director
10003,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']",/3cdfnihGSrMiQWzmVPaEs3p2Mp1.jpg,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",/k43wPAVeepqzGwP52dKcknQjquj.jpg,1997-04-03,116,The Saint,6,https://www.youtube.com/watch?v=F4JOxijD1ts,"['Val Kilmer', 'Elisabeth Shue', 'Rade Šerbedžija', 'Henry Goodman', 'Alun Armstrong', 'Michael Byrne', 'Irina Apeksimova', 'Lev Prygunov', 'Charlotte Cornwell', 'Emily Mortimer']",['Phillip Noyce']
10004,"['Drama', 'Fantasy', 'Horror', 'Thriller', 'Mystery']",/vXtSgdZjWV3HPacdAVaUMzOzFsK.jpg,"When a sheriff arrests a writer, a family, a couple, and a hitchiker and throws them in a jail cell in the deserted town of Desperation, they must fight for their lives.",/bjELwweoUlLSk9DtOS3MXBJVLTX.jpg,2006-05-23,131,Desperation,5,https://www.youtube.com/watch?v=Jw6AUTT8sL8,"['Steven Weber', 'Tom Skerritt', 'Charles Durning', 'Annabeth Gish', 'Matt Frewer', 'Henry Thomas', 'Sammi Hanratty', 'Shane Haboucha', 'Kelly Overton', 'Ron Perlman']",['Mick Garris']
10005,"['Action', 'Adventure', 'Thriller']",/eKRKdTPXzgUlDNhWF00bCz9wGM1.jpg,"Navy SEALS, headed by Lt. Bobby James, are dispatched to North Korea on a covert mission, all in an effort to take out a missile site...",/7sbLeFbRxSNXHc1ZO4zxFy3sIgc.jpg,2006-10-17,96,Behind Enemy Lines II: Axis of Evil,4,https://www.youtube.com/watch?v=Hq8DGAgwFJI,"['Matt Bushell', 'Denis Arndt', 'Ben Cross', 'Keith David', 'Bruce McGill', 'Nicholas Gonzalez', 'Peter Coyote', 'April Grace', 'Glenn Morshower', 'Shane Edelman']",['James Dodson']
10007,"['Horror', 'Thriller']",/e7H4yEE0YJdyQx41nQdvl5U8Evl.jpg,"A group of delinquents are sent to clean the Blackwell Hotel. Little do they know reclusive psychopath Jacob Goodnight has holed away in the rotting hotel. When one of the teens is captured, those who remain -- a group that includes the cop who put a bullet in Goodnight's head four years ago -- band together to survive against the brutal killer.",/kAmRKToJVhfF6ObKnZ0hOYxL40L.jpg,2006-05-19,84,See No Evil,5,https://www.youtube.com/watch?v=ey5LtoCV-80,"['Glenn Jacobs', 'Christina Vidal', 'Luke Pegler', 'Craig Horner', 'Rachael Taylor', 'Jason Chong', 'Michael J. Pagan', 'Samantha Noble', 'Steven Vidler', 'Penny McNamee']",['Gregory Dark']
10008,"['Horror', 'Thriller']",/wTcPEs307cPVYQ6lPXSjQEG416R.jpg,Based on the true events of the only case in US History where a spirit caused the death of a man.,/wNgeLlsG8dxwIo4wCeilhNXhi5I.jpg,2005-05-05,83,An American Haunting,5,https://www.youtube.com/watch?v=8Mr1wMiihKI,"['Donald Sutherland', 'Sissy Spacek', ""James D'Arcy"", 'Gaye Brown', 'Matthew Marsh', 'Vernon Dobtcheff', 'Thom Fell', 'Shauna Shim', 'Zoe Thorne', 'Sam Alexander']",['Courtney Solomon']
10009,"['Adventure', 'Animation', 'Family']",/nMKfeFtE9bML6yjdcymrt5vtaNz.jpg,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",/9VvLgj28J5m04y5gO0mt5np4yF8.jpg,2003-10-23,85,Brother Bear,7,https://www.youtube.com/watch?v=mbSzbfN9QQA,"['Joaquin Phoenix', 'Jeremy Suarez', 'Jason Raize', 'Rick Moranis', 'Dave Thomas', 'D. B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan', 'Harold Gould', 'Paul Christie']","['Aaron Blaise', 'Robert Walker']"
10010,"['Adventure', 'Animation', 'Family']",/hbu8yddsZ9jfbGUDbBq3JnoDhEC.jpg,"Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay.",/yaA8q2zHHUgFWdJNxXyAdU71SzM.jpg,2006-08-17,73,Brother Bear 2,6,https://www.youtube.com/watch?v=BHCLOiotTA8,"['Patrick Dempsey', 'Mandy Moore', 'Jeremy Suarez', 'Rick Moranis', 'Dave Thomas', 'Andrea Martin', ""Catherine O'Hara"", 'Wanda Sykes', 'Wendie Malick', 'Kathy Najimy']",['Ben Gluck']
10011,"['Horror', 'Thriller']",/2C8rRez1AjfXBGvjbv8EWf7TBlq.jpg,"A man, crippled in an accident, returns to the woods after rehabilitation, certain that he'll not see Bigfoot again.",/hVz9kkRU0RmkjHrb1JQBLlQCncS.jpg,2006-04-10,94,Abominable,5,https://www.youtube.com/watch?v=cX9141gbEl8,"['Matt McCoy', 'Haley Joel', 'Karin Anna Cheung', 'Jeffrey Combs', 'Natalie Compagno', 'Lance Henriksen', 'Paul Gleason', 'Rex Linn', 'Ashley Hartman', 'James Morrison']",['Ryan Schifrin']
10012,"['Horror', 'Comedy']",/kif8aF9qNN88Z0ehuP14YM789nH.jpg,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",/em45jL4CfTMyj5V83kj7rhdorJu.jpg,2005-02-25,97,Cursed,5,https://www.youtube.com/watch?v=VeEkAdt1GCs,"['Christina Ricci', 'Jesse Eisenberg', 'Milo Ventimiglia', 'Judy Greer', 'Portia de Rossi', 'Joshua Jackson', 'Mýa', 'Shannon Elizabeth', 'Kristina Anapau', 'Daniel Edward Mora']",['Wes Craven']
10016,"['Action', 'Horror', 'Science Fiction']",/anSbunnEMI0TSmizqUSRACoe18l.jpg,Melanie Ballard is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend dangerous criminal James Williams. Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,/i2zztssCIbahGES1fdfWFmDXian.jpg,2001-08-24,98,Ghosts of Mars,5,https://www.youtube.com/watch?v=XbmFwk8n0f0,"['Natasha Henstridge', 'Ice Cube', 'Jason Statham', 'Clea DuVall', 'Pam Grier', 'Joanna Cassidy', 'Richard Cetrone', 'Rosemary Forsyth', 'Lobo Sebastian', 'Rodney A. Grant']",['John Carpenter']
