id,genres,backdrop_path,overview,poster_path,release_date,runtime,title,vote_average,youtube_link,actors,director
38258,"['Horror', 'Music', 'Thriller']",/2rGYlO0x9HFHyDmTlICGUj51AIJ.jpg,"All hell breaks loose when a giant grizzly, reacting to the slaughter of her cubs by poachers, attacks a massive rock concert in the National Park.  [This sequel to ""Grizzly"" (1976) was left unfinished after production wrapped prematurely in 1983, and was not officially released until 2020, though a bootleg workprint version had been in circulation for some years prior to this.]",/dKHoRIicgHLoNPKiRJpRPHd96Gx.jpg,2020-02-17,74,Grizzly II: Revenge,5,https://www.youtube.com/watch?v=fzweOFrZ0xM,"['George Clooney', 'Laura Dern', 'Charlie Sheen', 'Louise Fletcher', 'John Rhys-Davies', 'Steve Inwood', 'Dick Anthony Williams', 'Deborah Raffin', 'Edward Meeks', 'Deborah Foreman']",['André Szöts']
38700,"['Thriller', 'Action', 'Crime']",/3N316jUSdhvPyYTW29G4v9ebbcS.jpg,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,2020-01-15,124,Bad Boys for Life,7,https://www.youtube.com/watch?v=-P-C6I-jZwQ,"['Will Smith', 'Martin Lawrence', 'Paola Nuñez', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano', 'Theresa Randle']","['Adil El Arbi', 'Bilall Fallah']"
157433,"['Horror', 'Thriller']",/dMWVeuVce8ZLKLI0xpVevihEwm8.jpg,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.",/7SPhr7Qj39vbnfF9O2qHRYaKHAL.jpg,2019-04-04,101,Pet Sematary,5,https://www.youtube.com/watch?v=XakmsXltPkA,"['Jason Clarke', 'Amy Seimetz', 'John Lithgow', 'Sonia Maria Chirila', 'Jeté Laurence', 'Hugo Lavoie', 'Lucas Lavoie', 'Obssa Ahmed', 'Alyssa Brooke Levine', 'Maria Herrera']","['Kevin Kölsch', 'Dennis Widmyer']"
50022,"['Comedy', 'Crime', 'Mystery']",/lXtS4sFvOtwnFBiezzJvOMC7b9W.jpg,"When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.",/57SZgdugVClIy22rfnANeBJ5KsN.jpg,2018-04-19,100,Super Troopers 2,5,https://www.youtube.com/watch?v=eEed-o8fVpM,"['Kevin Heffernan', 'Steve Lemme', 'Erik Stolhanske', 'Emmanuelle Chriqui', 'Lynda Carter', 'Rob Lowe', 'Marisa Coughlan', 'Brian Cox', 'Tyler Labine', 'Will Sasso']",['Jay Chandrasekhar']
50022,"['Comedy', 'Crime', 'Mystery']",/lXtS4sFvOtwnFBiezzJvOMC7b9W.jpg,"When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.",/57SZgdugVClIy22rfnANeBJ5KsN.jpg,2018-04-19,100,Super Troopers 2,5,https://www.youtube.com/watch?v=eEed-o8fVpM,"['Kevin Heffernan', 'Steve Lemme', 'Erik Stolhanske', 'Emmanuelle Chriqui', 'Lynda Carter', 'Rob Lowe', 'Marisa Coughlan', 'Brian Cox', 'Tyler Labine', 'Will Sasso']",['Jay Chandrasekhar']
10148,"['Drama', 'Comedy']",/5wjCAZ8LrmOsEKS6FcZY8V4AwUM.jpg,A young man living a sheltered life develops a crush on a stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.,/5Do7HKvKPgjiBVJieMAOt8aZXAB.jpg,2018-04-13,90,Krystal,4,https://www.youtube.com/watch?v=wCc25I_y7oA,"['Rosario Dawson', 'Nick Robinson', 'T.I.', 'Grant Gustin', 'Felicity Huffman', 'William H. Macy', 'Jacob Latimore', 'Rick Fox', 'William Fichtner', 'Kathy Bates']",['William H. Macy']
141052,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",/jorgjEk6a0bed6jdR5wu4S6ZvRm.jpg,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,2017-11-15,120,Justice League,6,https://www.youtube.com/watch?v=PXrgvNXfN7M,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen']",['Zack Snyder']
141052,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",/jorgjEk6a0bed6jdR5wu4S6ZvRm.jpg,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,2017-11-15,120,Justice League,6,https://www.youtube.com/watch?v=PXrgvNXfN7M,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen']",['Zack Snyder']
55341,"['Horror', 'Mystery', 'Thriller']",/1kk4cuhjiAw8bGZwXIADJ2P7Xyj.jpg,"Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",/j49G5F7dZVeGzAB8Fnc2GdzO1T.jpg,2017-09-26,100,Jeepers Creepers 3,4,https://www.youtube.com/watch?v=DdtWIdsm9kI,"['Gina Philips', 'Gabrielle Haugh', 'Jonathan Breck', 'Brandon Smith', 'Meg Foster', 'Jordan Salloum', 'Stan Shaw', 'Joyce Giraud', 'Chester Rushing', 'Jason Bayle']",['Victor Salva']
55341,"['Horror', 'Mystery', 'Thriller']",/1kk4cuhjiAw8bGZwXIADJ2P7Xyj.jpg,"Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",/j49G5F7dZVeGzAB8Fnc2GdzO1T.jpg,2017-09-26,100,Jeepers Creepers 3,4,https://www.youtube.com/watch?v=DdtWIdsm9kI,"['Gina Philips', 'Gabrielle Haugh', 'Jonathan Breck', 'Brandon Smith', 'Meg Foster', 'Jordan Salloum', 'Stan Shaw', 'Joyce Giraud', 'Chester Rushing', 'Jason Bayle']",['Victor Salva']
